run298 | epochs: 5 | time (s): 6.58 | final validation loss: 0.3598212
run299 | epochs: 4 | time (s): 6.85 | final validation loss: 0.3558634
run300 | epochs: 301 | time (s): 321.31 | final validation loss: 0.3717746
run301 | epochs: 301 | time (s): 317.00 | final validation loss: 0.3679323
run302 | epochs: 301 | time (s): 312.99 | final validation loss: 0.3750903
run303 | epochs: 301 | time (s): 315.47 | final validation loss: 0.3827088
run304 | epochs: 301 | time (s): 312.78 | final validation loss: 0.3647123
run305 | epochs: 301 | time (s): 311.90 | final validation loss: 0.3813775
run306 | epochs: 301 | time (s): 312.77 | final validation loss: 0.3739268
run307 | epochs: 301 | time (s): 310.59 | final validation loss: 0.3676218
run308 | epochs: 301 | time (s): 314.63 | final validation loss: 0.3702067
run309 | epochs: 301 | time (s): 314.27 | final validation loss: 0.3669727
