run204.yaml: Model B | lr=0.001 | dropout=0.65 | weight_decay=0.005
run205.yaml: Model B | lr=0.001 | dropout=0.65 | weight_decay=0.0005
run206.yaml: Model B | lr=0.001 | dropout=0.65 | weight_decay=0.0001
run207.yaml: Model B | lr=0.001 | dropout=0.75 | weight_decay=0.001
run208.yaml: Model B | lr=0.001 | dropout=0.75 | weight_decay=0.005
run209.yaml: Model B | lr=0.001 | dropout=0.75 | weight_decay=0.0005
run210.yaml: Model B | lr=0.001 | dropout=0.75 | weight_decay=0.0001
run211.yaml: Model B | lr=0.001 | dropout=0.85 | weight_decay=0.001
run212.yaml: Model B | lr=0.001 | dropout=0.85 | weight_decay=0.005
run213.yaml: Model B | lr=0.001 | dropout=0.85 | weight_decay=0.0005
run214.yaml: Model B | lr=0.001 | dropout=0.85 | weight_decay=0.0001
run215.yaml: Model B | lr=0.001 | dropout=0.95 | weight_decay=0.001
run216.yaml: Model B | lr=0.001 | dropout=0.95 | weight_decay=0.005
run217.yaml: Model B | lr=0.001 | dropout=0.95 | weight_decay=0.0005
run218.yaml: Model B | lr=0.001 | dropout=0.95 | weight_decay=0.0001
run219.yaml: Model C | lr=0.0001 | dropout=0.55 | weight_decay=0.001
run220.yaml: Model C | lr=0.0001 | dropout=0.55 | weight_decay=0.005
run221.yaml: Model C | lr=0.0001 | dropout=0.55 | weight_decay=0.0005
run222.yaml: Model C | lr=0.0001 | dropout=0.55 | weight_decay=0.0001
run223.yaml: Model C | lr=0.0001 | dropout=0.65 | weight_decay=0.001
run224.yaml: Model C | lr=0.0001 | dropout=0.65 | weight_decay=0.005
run225.yaml: Model C | lr=0.0001 | dropout=0.65 | weight_decay=0.0005
run226.yaml: Model C | lr=0.0001 | dropout=0.65 | weight_decay=0.0001
run227.yaml: Model C | lr=0.0001 | dropout=0.75 | weight_decay=0.001
run228.yaml: Model C | lr=0.0001 | dropout=0.75 | weight_decay=0.005
run229.yaml: Model C | lr=0.0001 | dropout=0.75 | weight_decay=0.0005
run230.yaml: Model C | lr=0.0001 | dropout=0.75 | weight_decay=0.0001
run231.yaml: Model C | lr=0.0001 | dropout=0.85 | weight_decay=0.001
run232.yaml: Model C | lr=0.0001 | dropout=0.85 | weight_decay=0.005
run233.yaml: Model C | lr=0.0001 | dropout=0.85 | weight_decay=0.0005
run234.yaml: Model C | lr=0.0001 | dropout=0.85 | weight_decay=0.0001
run235.yaml: Model C | lr=0.0001 | dropout=0.95 | weight_decay=0.001
run236.yaml: Model C | lr=0.0001 | dropout=0.95 | weight_decay=0.005
run237.yaml: Model C | lr=0.0001 | dropout=0.95 | weight_decay=0.0005
run238.yaml: Model C | lr=0.0001 | dropout=0.95 | weight_decay=0.0001
run239.yaml: Model C | lr=0.0005 | dropout=0.55 | weight_decay=0.001
run240.yaml: Model C | lr=0.0005 | dropout=0.55 | weight_decay=0.005
run241.yaml: Model C | lr=0.0005 | dropout=0.55 | weight_decay=0.0005
run242.yaml: Model C | lr=0.0005 | dropout=0.55 | weight_decay=0.0001
run243.yaml: Model C | lr=0.0005 | dropout=0.65 | weight_decay=0.001
run244.yaml: Model C | lr=0.0005 | dropout=0.65 | weight_decay=0.005
run245.yaml: Model C | lr=0.0005 | dropout=0.65 | weight_decay=0.0005
run246.yaml: Model C | lr=0.0005 | dropout=0.65 | weight_decay=0.0001
run247.yaml: Model C | lr=0.0005 | dropout=0.75 | weight_decay=0.001
run248.yaml: Model C | lr=0.0005 | dropout=0.75 | weight_decay=0.005
run249.yaml: Model C | lr=0.0005 | dropout=0.75 | weight_decay=0.0005
run250.yaml: Model C | lr=0.0005 | dropout=0.75 | weight_decay=0.0001
run251.yaml: Model C | lr=0.0005 | dropout=0.85 | weight_decay=0.001
run252.yaml: Model C | lr=0.0005 | dropout=0.85 | weight_decay=0.005
run253.yaml: Model C | lr=0.0005 | dropout=0.85 | weight_decay=0.0005
run254.yaml: Model C | lr=0.0005 | dropout=0.85 | weight_decay=0.0001
run255.yaml: Model C | lr=0.0005 | dropout=0.95 | weight_decay=0.001
run256.yaml: Model C | lr=0.0005 | dropout=0.95 | weight_decay=0.005
run257.yaml: Model C | lr=0.0005 | dropout=0.95 | weight_decay=0.0005
run258.yaml: Model C | lr=0.0005 | dropout=0.95 | weight_decay=0.0001
run259.yaml: Model C | lr=0.001 | dropout=0.55 | weight_decay=0.001
run260.yaml: Model C | lr=0.001 | dropout=0.55 | weight_decay=0.005
run261.yaml: Model C | lr=0.001 | dropout=0.55 | weight_decay=0.0005
run262.yaml: Model C | lr=0.001 | dropout=0.55 | weight_decay=0.0001
run263.yaml: Model C | lr=0.001 | dropout=0.65 | weight_decay=0.001
run264.yaml: Model C | lr=0.001 | dropout=0.65 | weight_decay=0.005
run265.yaml: Model C | lr=0.001 | dropout=0.65 | weight_decay=0.0005
run266.yaml: Model C | lr=0.001 | dropout=0.65 | weight_decay=0.0001
run267.yaml: Model C | lr=0.001 | dropout=0.75 | weight_decay=0.001
run268.yaml: Model C | lr=0.001 | dropout=0.75 | weight_decay=0.005
run269.yaml: Model C | lr=0.001 | dropout=0.75 | weight_decay=0.0005
run270.yaml: Model C | lr=0.001 | dropout=0.75 | weight_decay=0.0001
run271.yaml: Model C | lr=0.001 | dropout=0.85 | weight_decay=0.001
run272.yaml: Model C | lr=0.001 | dropout=0.85 | weight_decay=0.005
run273.yaml: Model C | lr=0.001 | dropout=0.85 | weight_decay=0.0005
